"chr" "all.intron.nums" "all.rev.intron.nums" "all.intron.starts" "all.intron.stops" "all.atgs"
"48" "1" "3" "1" "137758" "137848" "Parent=AT1G01350.1"
"49" "1" "1" "4" "138541" "138597" "Parent=AT1G01355.1"
"50" "1" "2" "3" "138778" "138863" "Parent=AT1G01355.1"
"51" "1" "3" "2" "139114" "139203" "Parent=AT1G01355.1"
"52" "1" "4" "1" "139345" "139488" "Parent=AT1G01355.1"
"53" "1" "1" "2" "142281" "142424" "Parent=AT1G01360.1"
"54" "1" "2" "1" "142639" "142711" "Parent=AT1G01360.1"
"55" "1" "1" "9" "143676" "143764" "Parent=AT1G01370.1"
"56" "1" "2" "8" "143824" "143934" "Parent=AT1G01370.1"
"57" "1" "3" "7" "143977" "144064" "Parent=AT1G01370.1"
"58" "1" "4" "6" "144109" "144193" "Parent=AT1G01370.1"
"59" "1" "5" "5" "144227" "144315" "Parent=AT1G01370.1"
"60" "1" "6" "4" "144351" "144447" "Parent=AT1G01370.1"
"61" "1" "7" "3" "144559" "144927" "Parent=AT1G01370.1"
"62" "1" "8" "2" "145004" "145132" "Parent=AT1G01370.1"
"63" "1" "9" "1" "145207" "145345" "Parent=AT1G01370.1"
"64" "1" "1" "2" "147333" "147452" "Parent=AT1G01380.1"
"65" "1" "2" "1" "147539" "147644" "Parent=AT1G01380.1"
"66" "1" "1" "4" "163516" "163934" "Parent=AT1G01448.1"
"67" "1" "2" "3" "164103" "164225" "Parent=AT1G01448.1"
"68" "1" "3" "2" "164686" "164771" "Parent=AT1G01448.1"
"69" "1" "4" "1" "165380" "165449" "Parent=AT1G01448.1"
"70" "1" "1" "9" "168801" "169037" "Parent=AT1G01460.1"
"71" "1" "2" "8" "169257" "169347" "Parent=AT1G01460.1"
"72" "1" "3" "7" "169509" "169600" "Parent=AT1G01460.1"
"73" "1" "4" "6" "169710" "169806" "Parent=AT1G01460.1"
"74" "1" "5" "5" "169993" "170071" "Parent=AT1G01460.1"
"75" "1" "6" "4" "170162" "170266" "Parent=AT1G01460.1"
"76" "1" "7" "3" "170313" "170412" "Parent=AT1G01460.1"
"77" "1" "8" "2" "170507" "170622" "Parent=AT1G01460.1"
"78" "1" "9" "1" "170760" "170851" "Parent=AT1G01460.1"
"79" "1" "1" "3" "176032" "176207" "Parent=AT1G01480.1"
"80" "1" "2" "2" "176338" "176592" "Parent=AT1G01480.1"
"81" "1" "3" "1" "176752" "177025" "Parent=AT1G01480.1"
"82" "1" "1" "1" "186009" "186340" "Parent=AT1G01500.1"
"83" "1" "1" "6" "187822" "188011" "Parent=AT1G01510.1"
"84" "1" "2" "5" "188176" "188284" "Parent=AT1G01510.1"
"85" "1" "3" "4" "188414" "188529" "Parent=AT1G01510.1"
"86" "1" "4" "3" "189320" "189417" "Parent=AT1G01510.1"
"87" "1" "5" "2" "189464" "189562" "Parent=AT1G01510.1"
"88" "1" "6" "1" "189675" "189765" "Parent=AT1G01510.1"
"89" "1" "1" "7" "190828" "190941" "Parent=AT1G01520.1"
"90" "1" "2" "6" "190998" "191138" "Parent=AT1G01520.1"
"91" "1" "3" "5" "191258" "191341" "Parent=AT1G01520.1"
"92" "1" "4" "4" "191475" "191579" "Parent=AT1G01520.1"
"93" "1" "5" "3" "191692" "191780" "Parent=AT1G01520.1"
"94" "1" "6" "2" "191889" "191967" "Parent=AT1G01520.1"
"95" "1" "7" "1" "192026" "192107" "Parent=AT1G01520.1"
"96" "1" "1" "5" "196542" "197115" "Parent=AT1G01540.1"
"97" "1" "2" "4" "197219" "197300" "Parent=AT1G01540.1"
"98" "1" "3" "3" "197422" "197501" "Parent=AT1G01540.1"
"99" "1" "4" "2" "197671" "197775" "Parent=AT1G01540.1"
"100" "1" "5" "1" "198183" "198267" "Parent=AT1G01540.1"
"101" "1" "1" "2" "199763" "199890" "Parent=AT1G01550.1"
"102" "1" "2" "1" "199959" "200511" "Parent=AT1G01550.1"
"103" "1" "1" "3" "202508" "202782" "Parent=AT1G01560.1"
"104" "1" "2" "2" "202911" "202991" "Parent=AT1G01560.1"
"105" "1" "3" "1" "203128" "203267" "Parent=AT1G01560.1"
"106" "1" "1" "2" "205949" "206692" "Parent=AT1G01570.1"
"107" "1" "2" "1" "207243" "207325" "Parent=AT1G01570.1"
"108" "1" "1" "7" "209608" "209764" "Parent=AT1G01580.1"
"109" "1" "2" "6" "209866" "209950" "Parent=AT1G01580.1"
"110" "1" "3" "5" "210144" "210385" "Parent=AT1G01580.1"
"111" "1" "4" "4" "210619" "211052" "Parent=AT1G01580.1"
"112" "1" "5" "3" "211379" "211474" "Parent=AT1G01580.1"
"113" "1" "6" "2" "211717" "211855" "Parent=AT1G01580.1"
"114" "1" "7" "1" "212573" "212671" "Parent=AT1G01580.1"
"115" "1" "1" "7" "214406" "214480" "Parent=AT1G01590.1"
"116" "1" "2" "6" "214582" "214697" "Parent=AT1G01590.1"
"117" "1" "3" "5" "214897" "215317" "Parent=AT1G01590.1"
"118" "1" "4" "4" "215554" "215633" "Parent=AT1G01590.1"
"119" "1" "5" "3" "215960" "216044" "Parent=AT1G01590.1"
"120" "1" "6" "2" "216293" "216414" "Parent=AT1G01590.1"
"121" "1" "7" "1" "217090" "217165" "Parent=AT1G01590.1"
"122" "1" "1" "1" "219621" "219752" "Parent=AT1G01600.1"
"123" "1" "1" "4" "229343" "229429" "Parent=AT1G01630.1"
"124" "1" "2" "3" "229724" "229829" "Parent=AT1G01630.1"
"125" "1" "3" "2" "229934" "230349" "Parent=AT1G01630.1"
"126" "1" "4" "1" "230459" "230559" "Parent=AT1G01630.1"
"127" "1" "1" "13" "249306" "249543" "Parent=AT1G01690.1"
"128" "1" "2" "12" "249693" "249774" "Parent=AT1G01690.1"
"129" "1" "3" "11" "249930" "250017" "Parent=AT1G01690.1"
"130" "1" "4" "10" "250151" "250536" "Parent=AT1G01690.1"
"131" "1" "5" "9" "250588" "250669" "Parent=AT1G01690.1"
"132" "1" "6" "8" "250863" "251004" "Parent=AT1G01690.1"
"133" "1" "7" "7" "251066" "251143" "Parent=AT1G01690.1"
"134" "1" "8" "6" "251184" "251260" "Parent=AT1G01690.1"
"135" "1" "9" "5" "251316" "251399" "Parent=AT1G01690.1"
"136" "1" "10" "4" "251440" "251539" "Parent=AT1G01690.1"
"137" "1" "11" "3" "251594" "251680" "Parent=AT1G01690.1"
"138" "1" "12" "2" "251827" "251922" "Parent=AT1G01690.1"
"139" "1" "13" "1" "252006" "252121" "Parent=AT1G01690.1"
"140" "1" "1" "3" "253457" "253531" "Parent=AT1G01695.1"
"141" "1" "2" "2" "253679" "253775" "Parent=AT1G01695.1"
"142" "1" "3" "1" "253874" "253954" "Parent=AT1G01695.1"
"143" "1" "1" "18" "262965" "263047" "Parent=AT1G01710.1"
"144" "1" "2" "17" "263139" "263232" "Parent=AT1G01710.1"
"145" "1" "3" "16" "263299" "263369" "Parent=AT1G01710.1"
"146" "1" "4" "15" "263444" "263526" "Parent=AT1G01710.1"
"147" "1" "5" "14" "263572" "263645" "Parent=AT1G01710.1"
"148" "1" "6" "13" "263770" "263857" "Parent=AT1G01710.1"
"149" "1" "7" "12" "263934" "264073" "Parent=AT1G01710.1"
"150" "1" "8" "11" "264160" "264280" "Parent=AT1G01710.1"
"151" "1" "9" "10" "264392" "264520" "Parent=AT1G01710.1"
"152" "1" "10" "9" "264582" "264657" "Parent=AT1G01710.1"
"153" "1" "11" "8" "264712" "264797" "Parent=AT1G01710.1"
"154" "1" "12" "7" "264901" "265021" "Parent=AT1G01710.1"
"155" "1" "13" "6" "265077" "265336" "Parent=AT1G01710.1"
"156" "1" "14" "5" "265437" "265578" "Parent=AT1G01710.1"
"157" "1" "15" "4" "265626" "265777" "Parent=AT1G01710.1"
"158" "1" "16" "3" "265845" "265952" "Parent=AT1G01710.1"
"159" "1" "17" "2" "266724" "267282" "Parent=AT1G01710.1"
"160" "1" "18" "1" "267577" "267677" "Parent=AT1G01710.1"
"161" "1" "1" "2" "268630" "268717" "Parent=AT1G01720.1"
"162" "1" "2" "1" "268994" "269083" "Parent=AT1G01720.1"
"163" "1" "1" "2" "271289" "271379" "Parent=AT1G01730.1"
"164" "1" "2" "1" "271433" "271541" "Parent=AT1G01730.1"
"165" "1" "1" "2" "275530" "275632" "Parent=AT1G01750.1"
"166" "1" "2" "1" "275897" "275973" "Parent=AT1G01750.1"
"167" "1" "1" "15" "278809" "278887" "Parent=AT1G01770.1"
"168" "1" "2" "14" "279088" "279166" "Parent=AT1G01770.1"
"169" "1" "3" "13" "279240" "279327" "Parent=AT1G01770.1"
"170" "1" "4" "12" "279425" "279536" "Parent=AT1G01770.1"
"171" "1" "5" "11" "279576" "279797" "Parent=AT1G01770.1"
"172" "1" "6" "10" "279910" "279974" "Parent=AT1G01770.1"
"173" "1" "7" "9" "280088" "280180" "Parent=AT1G01770.1"
"174" "1" "8" "8" "280370" "280449" "Parent=AT1G01770.1"
"175" "1" "9" "7" "280568" "280657" "Parent=AT1G01770.1"
"176" "1" "10" "6" "280737" "280889" "Parent=AT1G01770.1"
"177" "1" "11" "5" "281121" "281309" "Parent=AT1G01770.1"
"178" "1" "12" "4" "281348" "281438" "Parent=AT1G01770.1"
"179" "1" "13" "3" "281536" "281759" "Parent=AT1G01770.1"
"180" "1" "14" "2" "282189" "282484" "Parent=AT1G01770.1"
"181" "1" "15" "1" "282766" "282849" "Parent=AT1G01770.1"
"182" "1" "1" "4" "283053" "283132" "Parent=AT1G01780.1"
"183" "1" "2" "3" "283231" "283314" "Parent=AT1G01780.1"
"184" "1" "3" "2" "283336" "283444" "Parent=AT1G01780.1"
"185" "1" "4" "1" "283533" "283813" "Parent=AT1G01780.1"
"186" "1" "1" "20" "284635" "284722" "Parent=AT1G01790.1"
"187" "1" "2" "19" "286351" "286452" "Parent=AT1G01790.1"
"188" "1" "3" "18" "286623" "286717" "Parent=AT1G01790.1"
"189" "1" "4" "17" "286807" "286997" "Parent=AT1G01790.1"
"190" "1" "5" "16" "287133" "287221" "Parent=AT1G01790.1"
"191" "1" "6" "15" "287280" "287395" "Parent=AT1G01790.1"
"192" "1" "7" "14" "287514" "287642" "Parent=AT1G01790.1"
"193" "1" "8" "13" "287710" "287789" "Parent=AT1G01790.1"
"194" "1" "9" "12" "287854" "288087" "Parent=AT1G01790.1"
"195" "1" "10" "11" "288176" "288401" "Parent=AT1G01790.1"
"196" "1" "11" "10" "288505" "288593" "Parent=AT1G01790.1"
"197" "1" "12" "9" "288721" "288882" "Parent=AT1G01790.1"
"198" "1" "13" "8" "289091" "289237" "Parent=AT1G01790.1"
"199" "1" "14" "7" "289386" "289539" "Parent=AT1G01790.1"
"200" "1" "15" "6" "289592" "289718" "Parent=AT1G01790.1"
"201" "1" "16" "5" "289776" "290028" "Parent=AT1G01790.1"
"202" "1" "17" "4" "290094" "290170" "Parent=AT1G01790.1"
"203" "1" "18" "3" "290346" "290439" "Parent=AT1G01790.1"
"204" "1" "19" "2" "290495" "290578" "Parent=AT1G01790.1"
"205" "1" "20" "1" "290652" "290747" "Parent=AT1G01790.1"
"206" "1" "1" "4" "293409" "293500" "Parent=AT1G01800.1"
"207" "1" "2" "3" "293752" "294055" "Parent=AT1G01800.1"
"208" "1" "3" "2" "294120" "294210" "Parent=AT1G01800.1"
"209" "1" "4" "1" "294386" "294511" "Parent=AT1G01800.1"
"210" "1" "1" "1" "310981" "311337" "Parent=AT1G01900.1"
"211" "1" "1" "15" "316257" "316344" "Parent=AT1G01920.1"
"212" "1" "2" "14" "316440" "316539" "Parent=AT1G01920.1"
"213" "1" "3" "13" "316713" "316792" "Parent=AT1G01920.1"
"214" "1" "4" "12" "316897" "317008" "Parent=AT1G01920.1"
"215" "1" "5" "11" "317090" "317167" "Parent=AT1G01920.1"
"216" "1" "6" "10" "317193" "317294" "Parent=AT1G01920.1"
"217" "1" "7" "9" "317456" "317561" "Parent=AT1G01920.1"
"218" "1" "8" "8" "317642" "317765" "Parent=AT1G01920.1"
"219" "1" "9" "7" "317845" "317979" "Parent=AT1G01920.1"
"220" "1" "10" "6" "318040" "318145" "Parent=AT1G01920.1"
"221" "1" "11" "5" "318201" "318296" "Parent=AT1G01920.1"
"222" "1" "12" "4" "318433" "318565" "Parent=AT1G01920.1"
"223" "1" "13" "3" "318813" "318986" "Parent=AT1G01920.1"
"224" "1" "14" "2" "319101" "319204" "Parent=AT1G01920.1"
"225" "1" "15" "1" "319296" "319372" "Parent=AT1G01920.1"
"226" "1" "1" "4" "323084" "323208" "Parent=AT1G01940.1"
"227" "1" "2" "3" "323282" "323679" "Parent=AT1G01940.1"
"228" "1" "3" "2" "323840" "324258" "Parent=AT1G01940.1"
"229" "1" "4" "1" "324416" "324636" "Parent=AT1G01940.1"
"230" "1" "1" "18" "325641" "325913" "Parent=AT1G01950.1"
"231" "1" "2" "17" "326013" "326106" "Parent=AT1G01950.1"
"232" "1" "3" "16" "326228" "326332" "Parent=AT1G01950.1"
"233" "1" "4" "15" "326517" "326594" "Parent=AT1G01950.1"
"234" "1" "5" "14" "326815" "326931" "Parent=AT1G01950.1"
"235" "1" "6" "13" "327084" "327237" "Parent=AT1G01950.1"
"236" "1" "7" "12" "327386" "327488" "Parent=AT1G01950.1"
"237" "1" "8" "11" "327576" "327663" "Parent=AT1G01950.1"
"238" "1" "9" "10" "327866" "328000" "Parent=AT1G01950.1"
"239" "1" "10" "9" "328107" "328188" "Parent=AT1G01950.1"
"240" "1" "11" "8" "328322" "328424" "Parent=AT1G01950.1"
"241" "1" "12" "7" "328555" "328898" "Parent=AT1G01950.1"
"242" "1" "13" "6" "329030" "329119" "Parent=AT1G01950.1"
"243" "1" "14" "5" "329211" "329311" "Parent=AT1G01950.1"
"244" "1" "15" "4" "329436" "329573" "Parent=AT1G01950.1"
"245" "1" "16" "3" "329698" "329781" "Parent=AT1G01950.1"
"246" "1" "17" "2" "329924" "330027" "Parent=AT1G01950.1"
"247" "1" "18" "1" "330155" "330243" "Parent=AT1G01950.1"
"248" "1" "1" "1" "338987" "339126" "Parent=AT1G01970.1"
"249" "1" "1" "20" "348127" "348212" "Parent=AT1G02010.1"
"250" "1" "2" "19" "348267" "348373" "Parent=AT1G02010.1"
"251" "1" "3" "18" "348454" "348562" "Parent=AT1G02010.1"
"252" "1" "4" "17" "348640" "348735" "Parent=AT1G02010.1"
"253" "1" "5" "16" "348785" "348880" "Parent=AT1G02010.1"
"254" "1" "6" "15" "348976" "349067" "Parent=AT1G02010.1"
"255" "1" "7" "14" "349099" "349238" "Parent=AT1G02010.1"
"256" "1" "8" "13" "349366" "349550" "Parent=AT1G02010.1"
"257" "1" "9" "12" "349720" "349803" "Parent=AT1G02010.1"
"258" "1" "10" "11" "349886" "350049" "Parent=AT1G02010.1"
"259" "1" "11" "10" "350147" "350226" "Parent=AT1G02010.1"
"260" "1" "12" "9" "350296" "350474" "Parent=AT1G02010.1"
"261" "1" "13" "8" "350570" "350658" "Parent=AT1G02010.1"
"262" "1" "14" "7" "350783" "350871" "Parent=AT1G02010.1"
"263" "1" "15" "6" "350966" "351044" "Parent=AT1G02010.1"
"264" "1" "16" "5" "351160" "351252" "Parent=AT1G02010.1"
"265" "1" "17" "4" "351329" "351412" "Parent=AT1G02010.1"
"266" "1" "18" "3" "351632" "351729" "Parent=AT1G02010.1"
"267" "1" "19" "2" "351819" "351912" "Parent=AT1G02010.1"
"268" "1" "20" "1" "352001" "352126" "Parent=AT1G02010.1"
"269" "1" "1" "2" "366325" "366723" "Parent=AT1G02065.1"
"270" "1" "2" "1" "366859" "366986" "Parent=AT1G02065.1"
"271" "1" "1" "49" "373405" "373606" "Parent=AT1G02080.1"
"272" "1" "2" "48" "373786" "373892" "Parent=AT1G02080.1"
"273" "1" "3" "47" "374189" "374272" "Parent=AT1G02080.1"
"274" "1" "4" "46" "374500" "374583" "Parent=AT1G02080.1"
"275" "1" "5" "45" "374922" "375122" "Parent=AT1G02080.1"
"276" "1" "6" "44" "375238" "375325" "Parent=AT1G02080.1"
"277" "1" "7" "43" "375453" "375528" "Parent=AT1G02080.1"
"278" "1" "8" "42" "375719" "375808" "Parent=AT1G02080.1"
"279" "1" "9" "41" "376002" "376114" "Parent=AT1G02080.1"
"280" "1" "10" "40" "376251" "376352" "Parent=AT1G02080.1"
"281" "1" "11" "39" "376474" "376562" "Parent=AT1G02080.1"
"282" "1" "12" "38" "376815" "376925" "Parent=AT1G02080.1"
"283" "1" "13" "37" "377028" "377211" "Parent=AT1G02080.1"
"284" "1" "14" "36" "377305" "377391" "Parent=AT1G02080.1"
"285" "1" "15" "35" "377615" "377881" "Parent=AT1G02080.1"
"286" "1" "16" "34" "378036" "378119" "Parent=AT1G02080.1"
"287" "1" "17" "33" "378191" "378298" "Parent=AT1G02080.1"
"288" "1" "18" "32" "378365" "378504" "Parent=AT1G02080.1"
"289" "1" "19" "31" "378649" "378746" "Parent=AT1G02080.1"
"290" "1" "20" "30" "378854" "378943" "Parent=AT1G02080.1"
"291" "1" "21" "29" "379089" "379183" "Parent=AT1G02080.1"
"292" "1" "22" "28" "379230" "379305" "Parent=AT1G02080.1"
"293" "1" "23" "27" "379433" "379528" "Parent=AT1G02080.1"
"294" "1" "24" "26" "379770" "379866" "Parent=AT1G02080.1"
"295" "1" "25" "25" "380003" "380089" "Parent=AT1G02080.1"
"296" "1" "26" "24" "380174" "380270" "Parent=AT1G02080.1"
"297" "1" "27" "23" "380375" "380602" "Parent=AT1G02080.1"
"298" "1" "28" "22" "380697" "380846" "Parent=AT1G02080.1"
"299" "1" "29" "21" "380998" "381150" "Parent=AT1G02080.1"
"300" "1" "30" "20" "381332" "381405" "Parent=AT1G02080.1"
"301" "1" "31" "19" "381634" "381730" "Parent=AT1G02080.1"
"302" "1" "32" "18" "381832" "381912" "Parent=AT1G02080.1"
"303" "1" "33" "17" "382040" "382127" "Parent=AT1G02080.1"
"304" "1" "34" "16" "382171" "382373" "Parent=AT1G02080.1"
"305" "1" "35" "15" "382567" "382803" "Parent=AT1G02080.1"
"306" "1" "36" "14" "382929" "383030" "Parent=AT1G02080.1"
"307" "1" "37" "13" "383130" "383395" "Parent=AT1G02080.1"
"308" "1" "38" "12" "383529" "383608" "Parent=AT1G02080.1"
"309" "1" "39" "11" "383688" "384084" "Parent=AT1G02080.1"
"310" "1" "40" "10" "384230" "384318" "Parent=AT1G02080.1"
"311" "1" "41" "9" "384449" "384558" "Parent=AT1G02080.1"
"312" "1" "42" "8" "384605" "384694" "Parent=AT1G02080.1"
"313" "1" "43" "7" "384840" "384908" "Parent=AT1G02080.1"
"314" "1" "44" "6" "384969" "385171" "Parent=AT1G02080.1"
"315" "1" "45" "5" "385324" "385432" "Parent=AT1G02080.1"
"316" "1" "46" "4" "385623" "385713" "Parent=AT1G02080.1"
"317" "1" "47" "3" "385817" "385909" "Parent=AT1G02080.1"
"318" "1" "48" "2" "386043" "386133" "Parent=AT1G02080.1"
"319" "1" "49" "1" "386333" "386428" "Parent=AT1G02080.1"
"320" "1" "1" "11" "389943" "390037" "Parent=AT1G02100.1"
"321" "1" "2" "10" "390250" "390352" "Parent=AT1G02100.1"
"322" "1" "3" "9" "390399" "390483" "Parent=AT1G02100.1"
"323" "1" "4" "8" "390564" "390762" "Parent=AT1G02100.1"
"324" "1" "5" "7" "390864" "391003" "Parent=AT1G02100.1"
"325" "1" "6" "6" "391123" "391216" "Parent=AT1G02100.1"
"326" "1" "7" "5" "391263" "391458" "Parent=AT1G02100.1"
"327" "1" "8" "4" "391541" "391652" "Parent=AT1G02100.1"
"328" "1" "9" "3" "391716" "392021" "Parent=AT1G02100.1"
"329" "1" "10" "2" "392072" "392262" "Parent=AT1G02100.1"
"330" "1" "11" "1" "392300" "392374" "Parent=AT1G02100.1"
"331" "1" "1" "3" "393875" "393966" "Parent=AT1G02110.1"
"332" "1" "2" "2" "394153" "394228" "Parent=AT1G02110.1"
"333" "1" "3" "1" "394451" "394672" "Parent=AT1G02110.1"
"334" "1" "1" "17" "395946" "396029" "Parent=AT1G02120.1"
"335" "1" "2" "16" "396088" "396167" "Parent=AT1G02120.1"
"336" "1" "3" "15" "396217" "396291" "Parent=AT1G02120.1"
"337" "1" "4" "14" "396356" "396439" "Parent=AT1G02120.1"
"338" "1" "5" "13" "396534" "396609" "Parent=AT1G02120.1"
"339" "1" "6" "12" "396725" "396793" "Parent=AT1G02120.1"
"340" "1" "7" "11" "396863" "396941" "Parent=AT1G02120.1"
"341" "1" "8" "10" "397098" "397703" "Parent=AT1G02120.1"
"342" "1" "9" "9" "397743" "397877" "Parent=AT1G02120.1"
"343" "1" "10" "8" "397964" "398065" "Parent=AT1G02120.1"
"344" "1" "11" "7" "398151" "398292" "Parent=AT1G02120.1"
"345" "1" "12" "6" "398346" "398460" "Parent=AT1G02120.1"
"346" "1" "13" "5" "398526" "398614" "Parent=AT1G02120.1"
"347" "1" "14" "4" "398713" "398905" "Parent=AT1G02120.1"
"348" "1" "15" "3" "398966" "399068" "Parent=AT1G02120.1"
"349" "1" "16" "2" "399110" "399182" "Parent=AT1G02120.1"
"350" "1" "17" "1" "399393" "399484" "Parent=AT1G02120.1"
"351" "1" "1" "19" "404669" "404757" "Parent=AT1G02145.1"
"352" "1" "2" "18" "404842" "404912" "Parent=AT1G02145.1"
"353" "1" "3" "17" "404953" "405065" "Parent=AT1G02145.1"
"354" "1" "4" "16" "405110" "405242" "Parent=AT1G02145.1"
"355" "1" "5" "15" "405316" "405430" "Parent=AT1G02145.1"
"356" "1" "6" "14" "405485" "405648" "Parent=AT1G02145.1"
"357" "1" "7" "13" "405765" "405893" "Parent=AT1G02145.1"
"358" "1" "8" "12" "405951" "406061" "Parent=AT1G02145.1"
"359" "1" "9" "11" "406132" "406247" "Parent=AT1G02145.1"
"360" "1" "10" "10" "406310" "406415" "Parent=AT1G02145.1"
"361" "1" "11" "9" "406518" "406721" "Parent=AT1G02145.1"
"362" "1" "12" "8" "406792" "406903" "Parent=AT1G02145.1"
"363" "1" "13" "7" "406989" "407080" "Parent=AT1G02145.1"
"364" "1" "14" "6" "407147" "407321" "Parent=AT1G02145.1"
"365" "1" "15" "5" "407389" "407468" "Parent=AT1G02145.1"
"366" "1" "16" "4" "407550" "407722" "Parent=AT1G02145.1"
"367" "1" "17" "3" "407821" "408073" "Parent=AT1G02145.1"
"368" "1" "18" "2" "408138" "408236" "Parent=AT1G02145.1"
"369" "1" "19" "1" "408329" "408408" "Parent=AT1G02145.1"
"370" "1" "1" "1" "409138" "409219" "Parent=AT1G02150.1"
"371" "1" "1" "2" "410893" "411177" "Parent=AT1G02160.1"
"372" "1" "2" "1" "411253" "411336" "Parent=AT1G02160.1"
"373" "1" "1" "4" "412258" "412460" "Parent=AT1G02170.1"
"374" "1" "2" "3" "412790" "412883" "Parent=AT1G02170.1"
"375" "1" "3" "2" "413003" "413080" "Parent=AT1G02170.1"
"376" "1" "4" "1" "413295" "413367" "Parent=AT1G02170.1"
"377" "1" "1" "6" "415670" "415742" "Parent=AT1G02190.1"
"378" "1" "2" "5" "415961" "416045" "Parent=AT1G02190.1"
"379" "1" "3" "4" "416435" "416731" "Parent=AT1G02190.1"
"380" "1" "4" "3" "416838" "416962" "Parent=AT1G02190.1"
"381" "1" "5" "2" "417162" "417248" "Parent=AT1G02190.1"
"382" "1" "6" "1" "417520" "417623" "Parent=AT1G02190.1"
"383" "1" "1" "8" "418877" "418987" "Parent=AT1G02205.1"
"384" "1" "2" "7" "419210" "419297" "Parent=AT1G02205.1"
"385" "1" "3" "6" "419894" "420514" "Parent=AT1G02205.1"
"386" "1" "4" "5" "420889" "420984" "Parent=AT1G02205.1"
"387" "1" "5" "4" "421091" "421191" "Parent=AT1G02205.1"
"388" "1" "6" "3" "421391" "421526" "Parent=AT1G02205.1"
"389" "1" "7" "2" "421633" "421735" "Parent=AT1G02205.1"
"390" "1" "8" "1" "421908" "421981" "Parent=AT1G02205.1"
"391" "1" "1" "9" "453365" "453594" "Parent=AT1G02300.1"
"392" "1" "2" "8" "453647" "453730" "Parent=AT1G02300.1"
"393" "1" "3" "7" "453810" "453907" "Parent=AT1G02300.1"
"394" "1" "4" "6" "454063" "454197" "Parent=AT1G02300.1"
"395" "1" "5" "5" "454336" "454415" "Parent=AT1G02300.1"
"396" "1" "6" "4" "454540" "454622" "Parent=AT1G02300.1"
"397" "1" "7" "3" "454840" "454927" "Parent=AT1G02300.1"
