Chr	start	end	strand
Chr1	21508830	21508954	+
Chr1	20093806	20093926	-
Chr1	13964706	13964828	+
Chr1	13303378	13303489	+
Chr1	20823565	20823686	-
Chr1	19385772	19385868	-
Chr1	15879298	15879390	-
Chr1	22125693	22125815	+
Chr1	3247448	3247570	+
Chr1	12690264	12690354	-
Chr1	6951418	6951538	-
Chr1	4109989	4110103	+
Chr1	17708150	17710775	+
Chr1	18746044	18746141	-
Chr1	19057235	19057338	+
Chr1	12646096	12646216	-
Chr1	13105720	13105842	+
Chr1	2986951	2987018	+
Chr1	13097397	13097431	+
Chr1	8203657	8203778	-
Chr1	19268168	19268282	-
Chr1	758410	758534	+
Chr1	5659383	5659406	-
Chr1	4413086	4413210	+
Chr1	15199556	15199643	-
Chr1	15134899	15135014	-
Chr1	25889216	25889340	+
Chr1	26027636	26027758	-
Chr1	17548059	17548115	+
Chr1	25448292	25448415	+
Chr1	18150437	18150493	-
Chr1	11993457	11993578	-
Chr1	28163735	28163858	+
Chr1	16162425	16164556	+
Chr1	5044510	5044605	-
Chr1	20513545	20513637	+
Chr1	15685432	15687581	+
Chr1	17902473	17902550	+
Chr1	11126412	11126449	+
Chr1	26818089	26818218	-
Chr1	24877098	24877222	-
Chr1	22881472	22881603	+
Chr1	14006701	14006832	+
Chr1	15634378	15634434	-
Chr1	16768760	16768889	-
Chr1	16791724	16791852	-
Chr1	17031257	17031281	-
Chr1	12642435	12642564	-
Chr1	14233182	14233216	+
Chr1	13990141	13990253	+
Chr1	25564282	25564412	-
Chr1	12574466	12574595	-
Chr1	19924548	19924571	-
Chr1	15431674	15431701	-
Chr1	11704897	11705026	-
Chr1	17632243	17632374	+
Chr1	11090506	11090638	+
Chr1	21872093	21872178	-
Chr1	21097915	21097971	+
Chr1	29480214	29480347	+
Chr1	13827364	13827495	-
Chr1	21121192	21121267	+
Chr1	24709061	24709194	+
Chr1	26253997	26254130	+
Chr1	15642280	15642361	+
Chr1	17465296	17465429	+
Chr1	29342234	29342365	-
Chr1	10666053	10666185	+
Chr1	16533313	16533445	+
Chr1	6450341	6450389	-
Chr1	16317249	16317381	+
Chr1	24604924	24604957	-
Chr1	19073478	19073610	+
Chr1	27603733	27603865	+
Chr1	15277161	15277306	+
Chr1	7313962	7314091	-
Chr1	15142842	15142872	+
Chr1	3630277	3630404	-
Chr1	24483924	24484053	+
Chr1	13089744	13089824	-
Chr1	12604201	12604330	+
Chr1	27677420	27677549	+
Chr1	913218	913345	-
Chr1	16431065	16431612	-
Chr1	17019635	17019761	-
Chr1	22849916	22850044	+
Chr1	13684550	13684676	-
Chr1	12739497	12739623	-
Chr1	21891494	21891623	+
Chr1	12076730	12076856	-
Chr1	8053168	8053294	-
Chr1	16883	17009	-
Chr1	11126450	11126578	+
Chr1	13017803	13017883	-
Chr1	19769833	19769960	-
Chr1	11720281	11722435	+
Chr1	11188283	11188413	+
Chr1	19744792	19744922	+
Chr1	1417569	1417699	+
Chr1	15383890	15384020	+
Chr1	15285786	15285916	+
Chr1	15792669	15794826	-
Chr1	22192617	22192718	+
Chr1	24688473	24688564	-
Chr1	1441515	1441645	+
Chr1	10655834	10655963	+
Chr1	22456417	22456546	+
Chr1	19231980	19232107	-
Chr1	12080698	12080826	-
Chr1	16059165	16061322	+
Chr1	6753991	6754119	-
Chr1	16307595	16307723	-
Chr1	3360540	3360625	-
Chr1	12343258	12343403	+
Chr1	19464947	19465090	-
Chr1	25590911	25591070	-
Chr1	13768754	13777586	+
Chr1	21822852	21823013	+
Chr1	24603780	24603941	+
Chr1	9691304	9691418	-
Chr1	16265821	16265980	-
Chr1	26650761	26650921	-
Chr1	1430869	1431028	-
Chr1	3910702	3910762	+
Chr1	11207628	11207742	+
Chr1	15142453	15142841	+
Chr1	12394285	12394446	+
Chr1	7067629	7067790	+
Chr1	5025647	5025808	+
Chr1	17944754	17944913	-
Chr1	19316277	19316439	+
Chr1	13012651	13012798	-
Chr1	16291575	16291737	+
Chr1	12987699	12987862	+
Chr1	9317325	9317486	-
Chr1	29228168	29228331	+
Chr1	27603352	27603513	-
Chr1	24847019	24847152	-
Chr1	24350741	24352986	+
Chr1	19473237	19473400	+
Chr1	22991678	22991839	-
Chr1	13458208	13458371	+
Chr1	16181651	16181683	+
Chr1	21786594	21786755	+
Chr1	11887095	11887151	+
Chr1	16673532	16673695	+
Chr1	14236845	14237008	+
Chr1	15366244	15366405	-
Chr1	21502044	21502166	-
Chr1	12307524	12307633	+
Chr1	19986878	19987036	-
Chr1	26962997	26963155	-
Chr1	23939761	23939917	-
Chr1	16138078	16138097	+
Chr1	20972074	20974323	+
Chr1	20773136	20773292	-
Chr1	24514628	24514787	+
Chr1	28520027	28520136	-
Chr1	431917	432073	+
Chr1	11321177	11321335	+
Chr1	12136448	12136604	-
Chr1	17413147	17413305	+
Chr1	15910543	15910701	+
Chr1	25187855	25188014	+
Chr1	27498279	27498344	-
Chr1	10564719	10564875	-
Chr1	7433495	7433653	+
Chr1	19822278	19822379	-
Chr1	24281394	24281480	-
Chr1	16676973	16677131	+
Chr1	21856786	21856929	-
Chr1	9756656	9756816	+
Chr1	19688610	19688768	-
Chr1	22606311	22606462	+
Chr1	15887701	15887859	-
Chr1	15641931	15642064	+
Chr1	17376313	17378567	-
Chr1	2383162	2383320	-
Chr1	20819274	20819432	-
Chr1	19731727	19731887	+
Chr1	431310	431469	+
Chr1	7227970	7228129	+
Chr1	13699519	13699678	+
Chr1	17008346	17008503	-
Chr1	22063743	22063902	+
Chr1	14034543	14034702	+
Chr1	26581283	26581442	+
Chr1	29612248	29612406	+
Chr1	14353180	14353977	+
Chr1	20689289	20689340	+
Chr1	12894519	12894687	+
Chr1	12514633	12514799	-
Chr1	14185991	14186048	-
Chr1	13460097	13460265	+
Chr1	12870145	12870313	+
Chr1	13355093	13355234	+
Chr1	5123634	5123802	+
Chr1	16548186	16548352	-
Chr1	1444364	1444532	+
Chr1	15765739	15765907	+
Chr1	14449179	14451469	+
Chr1	22542139	22542307	+
Chr1	7037377	7037487	+
Chr1	15280449	15289511	+
Chr1	16779431	16779507	+
Chr1	5100442	5100610	+
Chr1	4835450	4835616	-
Chr1	23723924	23724092	+
Chr1	587327	587409	+
Chr1	23756840	23756961	+
Chr1	21972536	21972703	-
Chr1	16774470	16774490	+
Chr1	13687571	13687739	+
Chr1	9815774	9815821	-
Chr1	12527192	12527287	+
Chr1	11020316	11020416	+
Chr1	25860277	25860444	-
Chr1	18164776	18164944	+
Chr1	15618121	15618170	-
Chr1	12010328	12010496	+
Chr1	15947178	15949473	+
Chr1	16751409	16751576	-
Chr1	13259027	13259196	+
Chr1	14308293	14308460	-
Chr1	12022702	12022870	+
Chr1	16143371	16145661	-
Chr1	19073026	19073193	+
Chr1	12601906	12602071	+
Chr1	23749099	23749264	+
Chr1	16698150	16698313	-
Chr1	21956886	21957049	-
Chr1	16351946	16352111	+
Chr1	758535	760505	+
Chr1	17550962	17551066	-
Chr1	24252358	24252521	-
Chr1	19876058	19876222	+
Chr1	22113477	22113512	-
Chr1	15311897	15312018	-
Chr1	20420944	20421109	+
Chr1	19909541	19909695	-
Chr1	16477001	16477163	+
Chr1	15409979	15410100	-
Chr1	23932027	23932189	-
Chr1	21132485	21133186	-
Chr1	14008089	14008253	-
Chr1	21228851	21229015	-
Chr1	13837843	13838008	-
Chr1	13915200	13917482	+
Chr1	13023622	13023787	-
Chr1	11523417	11523517	+
Chr1	2444684	2444851	+
Chr1	15586798	15586942	-
Chr1	15886143	15886308	-
Chr1	19003177	19003344	+
Chr1	16548027	16548070	-
Chr1	15816322	15821314	-
Chr1	13430810	13430974	-
Chr1	15378553	15387615	+
Chr1	12299182	12299344	-
Chr1	22751639	22751805	+
Chr1	13811478	13811632	+
Chr1	11644394	11644558	-
Chr1	24214995	24215152	+
Chr1	23312999	23313154	-
Chr1	5357354	5357511	+
Chr1	24769687	24769834	-
Chr1	22991840	22994059	-
Chr1	13453497	13453646	+
Chr1	13029063	13029212	+
Chr1	12231360	12231480	+
Chr1	11863832	11863981	+
Chr1	11927029	11927176	-
Chr1	18434666	18434750	+
Chr1	8276347	8276494	-
Chr1	21250040	21250188	+
Chr1	14027020	14027168	+
Chr1	540269	540416	-
Chr1	23623522	23623671	+
Chr1	16405586	16405733	-
Chr1	18599360	18599462	+
Chr1	11508353	11508500	-
Chr1	11342815	11342964	+
Chr1	23711253	23711402	+
Chr1	16595997	16596124	+
Chr1	16168194	16170418	-
Chr1	18299773	18299924	+
Chr1	13434452	13434603	+
Chr1	12636723	12636874	+
Chr1	12963566	12963716	+
Chr1	11325952	11326100	-
Chr1	11767345	11767449	+
Chr1	12468973	12469066	+
Chr1	16543130	16543277	-
Chr1	16539823	16539970	-
Chr1	19415246	19415392	-
Chr1	21471749	21471898	+
Chr1	21168326	21168474	-
Chr1	12963538	12963565	+
Chr1	5862802	5862941	-
Chr1	16352973	16353121	+
Chr1	17409423	17409571	+
Chr1	6515318	6515466	+
Chr1	16581796	16581942	+
Chr1	977203	977233	+
Chr1	21392851	21392997	+
Chr1	11006532	11006659	-
Chr1	13544555	13544699	-
Chr1	9762608	9762754	+
Chr1	9815535	9815681	+
Chr1	14392569	14394783	+
Chr1	14346918	14349130	+
Chr1	17229160	17229303	-
Chr1	25929541	25929686	+
Chr1	6122834	6122862	-
Chr1	24294769	24294914	+
Chr1	21784072	21784217	+
Chr1	21765453	21765598	+
Chr1	21820330	21820475	+
Chr1	25728938	25729089	+
Chr1	2030569	2030715	+
Chr1	23537848	23537992	-
Chr1	25639635	25641849	-
Chr1	26333339	26333486	+
Chr1	13549777	13549900	-
Chr1	16406570	16406716	-
Chr1	8851193	8851341	+
Chr1	4093261	4093293	+
Chr1	6196273	6196418	-
Chr1	6466829	6466976	+
Chr1	14459460	14461676	+
Chr1	21801805	21801951	+
Chr1	21838063	21838209	+
Chr1	22236787	22236931	-
Chr1	6759701	6759761	+
Chr1	13421804	13421949	-
Chr1	13097249	13097396	+
Chr1	7323476	7323623	+
Chr1	20186872	20187021	-
Chr1	13433621	13433658	+
Chr1	12166868	12167019	+
Chr1	17279564	17279719	+
Chr1	12813938	12816180	+
Chr1	13313364	13313433	-
Chr1	12573376	12573529	-
Chr1	11172037	11172192	+
Chr1	17633145	17633298	-
Chr1	15768497	15770736	-
Chr1	26397615	26397696	-
Chr1	3851788	3851943	+
Chr1	16167803	16167957	+
Chr1	15947122	15947177	+
Chr1	588055	588182	+
Chr1	24617951	24618103	-
Chr1	12930132	12930287	+
Chr1	4908296	4908451	+
Chr1	19218075	19218229	+
Chr1	1430272	1430424	-
Chr1	5030107	5030262	+
Chr1	13192871	13193025	-
Chr1	19636162	19636319	+
Chr1	19364215	19364372	+
Chr1	12410498	12411549	-
Chr1	10646088	10646144	-
Chr1	29611562	29611719	+
Chr1	16877827	16877907	+
Chr1	257687	257709	+
Chr1	664383	664538	-
Chr1	16348627	16348770	-
Chr1	24602906	24602985	+
Chr1	16659529	16659685	+
Chr1	20432159	20432312	-
Chr1	16093987	16094141	-
Chr1	21719460	21719616	+
Chr1	17727055	17727204	+
Chr1	13591829	13591985	+
Chr1	9582443	9582536	+
Chr1	25212832	25212986	+
Chr1	16987716	16989955	+
Chr1	13230842	13230992	-
Chr1	11457202	11457354	+
Chr1	11103434	11103586	+
Chr1	6272450	6272600	-
Chr1	16156712	16156864	+
Chr1	28836494	28836646	+
Chr1	7393252	7393404	+
Chr1	20819433	20819585	+
Chr1	10349201	10349353	+
Chr1	22850190	22850341	+
Chr1	5807742	5807891	-
Chr1	27531284	27531434	-
Chr1	24012370	24012519	-
Chr1	15980798	15980948	-
Chr1	24645032	24645065	+
Chr1	23819472	23819623	+
Chr1	5359022	5359174	-
Chr1	11975470	11975496	+
Chr1	3413099	3413250	-
Chr1	499135	501371	-
Chr1	760506	760660	+
Chr1	7766430	7766584	+
Chr1	17653237	17653391	+
Chr1	13991689	13994017	-
Chr1	21753390	21753542	-
Chr1	28827195	28827347	-
Chr1	17252653	17252806	+
Chr1	17332294	17332445	-
Chr1	3564974	3565127	+
Chr1	13061427	13061580	+
Chr1	11352406	11352552	-
Chr1	12691421	12691532	-
Chr1	13979641	13981876	-
Chr1	18693072	18693225	+
Chr1	11836740	11836893	+
Chr1	15557534	15559659	-
Chr1	15624446	15624480	+
Chr1	11706323	11706445	+
Chr1	16968378	16968465	-
Chr1	12762392	12762481	+
Chr1	11983040	11983078	+
Chr1	21439107	21439196	+
Chr1	4660723	4660763	+
Chr1	154331	154418	-
Chr1	26304986	26305011	-
Chr1	9023713	9023800	-
Chr1	10524679	10524717	+
Chr1	18165827	18165915	+
Chr1	15721178	15721254	-
Chr1	15559660	15559746	-
Chr1	24822471	24822535	-
Chr1	13796033	13796397	+
Chr1	696359	696446	-
Chr1	13600945	13601035	+
Chr1	15594102	15594925	+
Chr1	28793352	28793442	+
Chr1	17563097	17563188	+
Chr1	13881564	13881653	-
Chr1	12527568	12527659	+
Chr1	24899623	24899712	-
Chr1	18324372	18326405	+
Chr1	24484764	24484855	+
Chr1	30381109	30381200	+
Chr1	20475899	20477927	-
Chr1	20317600	20317688	-
Chr1	23757428	23757459	+
Chr1	14367378	14367466	-
Chr1	21418459	21418545	-
Chr1	14413031	14413119	-
Chr1	3790753	3790843	+
Chr1	20540948	20541038	+
Chr1	24189410	24189500	+
Chr1	21755256	21755276	-
Chr1	25696501	25698524	+
Chr1	12550033	12550121	+
Chr1	21105189	21105256	+
Chr1	16080534	16089067	+
Chr1	4111033	4111110	-
Chr1	17674495	17674582	+
Chr1	1185353	1185394	-
Chr1	20439326	20439364	+
Chr1	22166385	22166471	+
Chr1	19533679	19533765	+
Chr1	15758391	15758475	-
Chr1	11410727	11410813	+
Chr1	13121472	13121558	+
Chr1	12425561	12425646	-
Chr1	5653689	5653775	+
Chr1	18214048	18214134	+
Chr1	17345102	17345186	-
Chr1	8012601	8012685	-
Chr1	15761085	15761176	+
Chr1	11523518	11523550	+
Chr1	19716456	19719259	+
Chr1	18339764	18339852	+
Chr1	15454825	15454913	+
Chr1	7830576	7830662	-
Chr1	5999194	5999282	+
Chr1	16935556	16935642	-
Chr1	7975779	7975861	-
Chr1	13826736	13826780	-
Chr1	19236159	19236223	-
Chr1	15765930	15765954	-
Chr1	25180004	25182025	+
Chr1	11454384	11454469	-
Chr1	16596176	16598192	+
Chr1	3262496	3262581	-
Chr1	16923275	16923355	+
Chr1	16666703	16666788	-
Chr1	21128902	21128957	+
Chr1	13172404	13172490	+
Chr1	14255844	14257875	-
Chr1	3564882	3564973	+
Chr1	10315744	10317790	+
Chr1	9018456	9018550	-
Chr1	30170932	30171028	+
Chr1	4329224	4329320	+
Chr1	15939235	15939329	-
Chr1	15429556	15429645	-
Chr1	23097817	23097882	+
Chr1	6630259	6630352	-
Chr1	11368364	11368459	+
Chr1	9862557	9862652	+
Chr1	23404390	23404483	-
Chr1	474081	474176	+
Chr1	28928128	28928223	+
Chr1	11619091	11619156	+
Chr1	21622740	21622833	-
Chr1	15450823	15450854	-
Chr1	17566622	17566717	-
Chr1	7528010	7528105	-
Chr1	13292187	13292284	+
Chr1	12229478	12229573	-
Chr1	18627362	18627449	+
Chr1	16566605	16566700	-
Chr1	14114369	14114464	-
Chr1	16999392	16999476	-
Chr1	19593889	19593931	+
Chr1	19933637	19933732	-
Chr1	20333421	20333516	-
Chr1	17404745	17406246	-
Chr1	16935643	16935740	+
Chr1	15554137	15554229	-
Chr1	14114465	14114486	-
Chr1	10931894	10931943	+
Chr1	19993687	19995733	-
Chr1	12084097	12084194	+
Chr1	16406477	16406569	-
Chr1	29207931	29208023	-
Chr1	15674570	15674643	+
Chr1	12291133	12291225	+
Chr1	27221233	27221323	-
Chr1	13971993	13974028	+
Chr1	12733351	12733441	-
Chr1	10569321	10569404	+
Chr1	15341982	15342029	-
Chr1	28842889	28842979	-
Chr1	7296463	7296507	+
Chr1	23213593	23215627	+
Chr1	17766177	17766266	-
Chr1	17449916	17449980	+
Chr1	6737671	6737763	+
Chr1	22731396	22731485	-
Chr1	16278646	16278736	-
Chr1	20245405	20245497	+
Chr1	13437315	13439349	+
Chr1	11474999	11475090	+
Chr1	3715119	3715209	-
Chr1	21449264	21449290	+
Chr1	14357678	14358254	-
Chr1	19303912	19304006	+
Chr1	7037488	7037582	+
Chr1	28160501	28160593	-
Chr1	16601425	16601517	-
Chr1	20280074	20280167	+
Chr1	14403331	14403907	-
Chr1	26306853	26306946	+
Chr1	12347002	12347086	-
Chr1	30255514	30255811	-
Chr1	3894686	3894779	+
Chr1	1293504	1293596	+
Chr1	13597675	13599711	+
Chr1	17406453	17406544	-
Chr1	15993773	15993864	-
Chr1	18164439	18164532	+
Chr1	13895843	13895927	-
Chr1	16340646	16340675	+
Chr1	4411795	4411881	+
Chr1	11897	11976	+
Chr1	13786685	13795195	+
Chr1	14125085	14127032	-
Chr1	13171301	13171359	+
Chr1	10314649	10314725	-
Chr1	12406582	12406659	-
Chr1	10456764	10456841	-
Chr1	21932883	21932948	-
Chr1	3605062	3605139	-
Chr1	6735679	6737670	+
Chr1	14259092	14261082	-
Chr1	9235669	9235746	-
Chr1	8375372	8375449	-
Chr1	2588453	2588505	-
Chr1	16361176	16361214	+
Chr1	28527673	28527752	+
Chr1	5890525	5890604	+
Chr1	16705843	16705920	-
Chr1	21125757	21125793	+
Chr1	10604987	10605010	+
Chr1	10978569	10978647	-
Chr1	15969163	15969241	-
Chr1	15342073	15344365	-
Chr1	2254644	2254722	-
Chr1	11826418	11826496	-
Chr1	17621888	17621958	+
Chr1	17554347	17554366	+
Chr1	24937493	24937572	+
Chr1	19476546	19476625	+
Chr1	17838943	17839001	-
Chr1	12468656	12468734	-
Chr1	20466694	20466774	+
Chr1	30250621	30250699	-
Chr1	3252265	3252343	-
Chr1	21455991	21456069	+
Chr1	17021909	17021987	+
Chr1	19250495	19250573	+
Chr1	12241495	12241571	+
Chr1	25954686	25954762	+
Chr1	18789719	18789793	-
Chr1	14303553	14305530	-
Chr1	23918862	23918936	-
Chr1	25186014	25186090	+
Chr1	7024566	7024640	-
Chr1	6594619	6594664	+
Chr1	18846375	18854882	-
Chr1	782944	782971	+
Chr1	10144109	10144182	-
Chr1	17322985	17323059	-
Chr1	6470399	6470472	-
Chr1	1174892	1174958	+
Chr1	14910879	14912856	+
Chr1	17392184	17392257	-
Chr1	17690660	17690741	+
Chr1	16168119	16168193	-
Chr1	12040655	12040676	-
Chr1	12339187	12339263	-
Chr1	12096671	12096692	+
Chr1	11451873	11451909	-
Chr1	14835288	14835313	-
Chr1	12638701	12638777	-
Chr1	13172847	13172925	+
Chr1	15947054	15947121	-
Chr1	7986421	7986482	+
Chr1	1185395	1185428	-
Chr1	16348020	16348075	-
Chr1	21104831	21104859	-
Chr1	21237189	21237265	+
Chr1	19390446	19390480	-
Chr1	22379760	22379837	+
Chr1	22058991	22059068	+
Chr1	10675906	10675981	-
Chr1	16936349	16936428	-
Chr1	15944779	15944858	-
Chr1	26374126	26374207	+
Chr1	26375958	26376043	+
Chr1	15500388	15500422	+
Chr1	7284912	7284990	+
Chr1	16143285	16143370	+
Chr1	21746489	21746511	+
Chr1	15634352	15634377	-
Chr1	11887020	11887094	-
Chr1	19246009	19246091	-
Chr1	12363714	12363796	-
Chr1	14364134	14364203	-
Chr1	17101842	17101875	+
Chr1	18906672	18906691	+
Chr1	8582828	8582912	+
Chr1	17133785	17133867	-
Chr1	13439372	13439443	-
Chr1	7433093	7433175	-
Chr1	14409787	14409856	-
Chr1	16818869	16820877	-
Chr1	13297271	13297356	+
Chr1	22742896	22742979	-
Chr1	19544014	19544099	+
Chr1	13990557	13990642	+
Chr1	20873689	20873773	-
Chr1	28160617	28161035	+
Chr1	15885591	15885674	-
Chr1	18600631	18600669	-
Chr1	24101486	24101571	+
Chr1	4512584	4512667	-
Chr1	22226783	22226866	-
Chr1	8830435	8830520	+
Chr1	13734680	13743201	-
Chr1	8816057	8816142	+
Chr1	8779151	8779236	+
Chr1	20540260	20540343	-
Chr1	8801679	8801764	+
Chr1	14045935	14046031	+
Chr1	14474642	14474711	-
Chr1	12976858	12976942	+
Chr1	21601871	21601922	+
Chr1	17122261	17122323	+
Chr1	15258140	15258219	-
Chr1	16403860	16403900	-
Chr1	15920882	15920962	-
Chr1	24059960	24060041	+
Chr1	9422396	9422477	+
Chr1	10531995	10532076	+
Chr1	13007694	13007773	-
Chr1	24784392	24784473	+
Chr1	11295151	11295230	-
Chr1	12993613	12993693	-
Chr1	22230965	22231044	-
Chr1	18980520	18980599	-
Chr1	15441213	15441294	+
Chr1	19749170	19749249	-
Chr1	11299453	11299527	+
Chr1	15632813	15632889	-
Chr1	5797260	5797340	-
Chr1	14009001	14009082	-
Chr1	26307618	26307701	+
Chr1	639130	641133	+
Chr1	15979580	15979661	-
Chr1	21628787	21628868	-
Chr1	16077339	16077422	+
Chr1	16713100	16713183	+
Chr1	16640685	16640766	-
Chr1	17112391	17112445	-
Chr1	22449851	22449882	-
Chr1	16876775	16876855	-
Chr1	11578083	11578165	+
Chr1	16607406	16607486	-
Chr1	21218752	21218834	+
Chr1	3827896	3827918	+
Chr1	16424157	16424191	+
Chr1	24125802	24125898	-
Chr1	14330894	14330990	-
Chr1	27572959	27573057	+
Chr1	4568341	4568452	-
Chr1	16557859	16557972	+
Chr1	21053506	21053617	-
Chr1	6662495	6662607	-
Chr1	25123237	25123349	-
Chr1	20821228	20821281	-
Chr1	14303210	14303324	+
Chr1	15959795	15959908	+
Chr1	9138210	9138321	-
Chr1	10236377	10236490	+
Chr1	6709616	6709729	+
Chr1	4487465	4487576	-
Chr1	16252641	16252754	+
Chr1	15746462	15747109	+
Chr1	2675839	2675952	+
Chr1	13313319	13313363	+
Chr1	12854953	12855065	-
Chr1	13500959	13501073	+
Chr1	11313164	11313193	+
Chr1	20232107	20234215	+
Chr1	15267477	15269583	-
Chr1	4411120	4411234	-
Chr1	14833180	14835287	-
Chr1	12287598	12287713	+
Chr1	12768833	12768946	-
Chr1	8035732	8035847	+
Chr1	17998171	17998243	+
Chr1	11656156	11656213	+
Chr1	10443987	10444101	+
Chr1	12412695	12412746	-
