"chr" "all.intron.nums" "all.rev.intron.nums" "all.intron.starts" "all.intron.stops" "all.atgs"
"64" "1" "3" "22" "129853" "129060" "Parent=AT1G01320.1"
"65" "1" "4" "21" "128968" "128551" "Parent=AT1G01320.1"
"66" "1" "5" "20" "128479" "128312" "Parent=AT1G01320.1"
"67" "1" "6" "19" "128028" "127935" "Parent=AT1G01320.1"
"68" "1" "7" "18" "127868" "127782" "Parent=AT1G01320.1"
"69" "1" "8" "17" "127651" "127573" "Parent=AT1G01320.1"
"70" "1" "9" "16" "127532" "127453" "Parent=AT1G01320.1"
"71" "1" "10" "15" "126935" "126840" "Parent=AT1G01320.1"
"72" "1" "11" "14" "126686" "126589" "Parent=AT1G01320.1"
"73" "1" "12" "13" "126076" "125998" "Parent=AT1G01320.1"
"74" "1" "13" "12" "125936" "125843" "Parent=AT1G01320.1"
"75" "1" "14" "11" "125742" "125655" "Parent=AT1G01320.1"
"76" "1" "15" "10" "125329" "125226" "Parent=AT1G01320.1"
"77" "1" "16" "9" "125134" "125046" "Parent=AT1G01320.1"
"78" "1" "17" "8" "124921" "124818" "Parent=AT1G01320.1"
"79" "1" "18" "7" "124714" "124632" "Parent=AT1G01320.1"
"80" "1" "19" "6" "124499" "124394" "Parent=AT1G01320.1"
"81" "1" "20" "5" "124211" "124123" "Parent=AT1G01320.1"
"82" "1" "21" "4" "123992" "123897" "Parent=AT1G01320.1"
"83" "1" "22" "3" "123785" "123669" "Parent=AT1G01320.1"
"84" "1" "23" "2" "123579" "123501" "Parent=AT1G01320.1"
"85" "1" "24" "1" "121493" "121406" "Parent=AT1G01320.1"
"86" "1" "1" "6" "134582" "134501" "Parent=AT1G01340.1"
"87" "1" "2" "5" "134289" "134206" "Parent=AT1G01340.1"
"88" "1" "3" "4" "133911" "133752" "Parent=AT1G01340.1"
"89" "1" "4" "3" "133641" "133539" "Parent=AT1G01340.1"
"90" "1" "5" "2" "133303" "133218" "Parent=AT1G01340.1"
"91" "1" "6" "1" "132824" "132744" "Parent=AT1G01340.1"
"92" "1" "1" "3" "152086" "152002" "Parent=AT1G01400.1"
"93" "1" "2" "2" "151932" "151731" "Parent=AT1G01400.1"
"94" "1" "3" "1" "151393" "151298" "Parent=AT1G01400.1"
"95" "1" "1" "2" "158254" "158112" "Parent=AT1G01430.1"
"96" "1" "2" "1" "157829" "157756" "Parent=AT1G01430.1"
"97" "1" "1" "4" "162487" "162280" "Parent=AT1G01440.1"
"98" "1" "2" "3" "160568" "160478" "Parent=AT1G01440.1"
"99" "1" "3" "2" "160418" "160302" "Parent=AT1G01440.1"
"100" "1" "4" "1" "160079" "159992" "Parent=AT1G01440.1"
"101" "1" "1" "1" "167014" "166871" "Parent=AT1G01453.1"
"102" "1" "1" "1" "172621" "172544" "Parent=AT1G01470.1"
"103" "1" "1" "2" "182061" "181422" "Parent=AT1G01490.1"
"104" "1" "2" "1" "181347" "180852" "Parent=AT1G01490.1"
"105" "1" "1" "1" "193351" "193071" "Parent=AT1G01530.1"
"106" "1" "1" "3" "223945" "223866" "Parent=AT1G01610.1"
"107" "1" "2" "2" "223551" "223096" "Parent=AT1G01610.1"
"108" "1" "3" "1" "222622" "222359" "Parent=AT1G01610.1"
"109" "1" "1" "3" "226849" "226691" "Parent=AT1G01620.1"
"110" "1" "2" "2" "226396" "226311" "Parent=AT1G01620.1"
"111" "1" "3" "1" "226171" "226081" "Parent=AT1G01620.1"
"112" "1" "1" "2" "232398" "231928" "Parent=AT1G01640.1"
"113" "1" "2" "1" "231784" "231655" "Parent=AT1G01640.1"
"114" "1" "1" "13" "237504" "237023" "Parent=AT1G01650.1"
"115" "1" "2" "12" "236865" "236784" "Parent=AT1G01650.1"
"116" "1" "3" "11" "236673" "236548" "Parent=AT1G01650.1"
"117" "1" "4" "10" "236429" "236296" "Parent=AT1G01650.1"
"118" "1" "5" "9" "236145" "236027" "Parent=AT1G01650.1"
"119" "1" "6" "8" "235845" "235752" "Parent=AT1G01650.1"
"120" "1" "7" "7" "235718" "235360" "Parent=AT1G01650.1"
"121" "1" "8" "6" "235198" "234988" "Parent=AT1G01650.1"
"122" "1" "9" "5" "234935" "234621" "Parent=AT1G01650.1"
"123" "1" "10" "4" "234529" "234392" "Parent=AT1G01650.1"
"124" "1" "11" "3" "234250" "233618" "Parent=AT1G01650.1"
"125" "1" "12" "2" "233548" "233470" "Parent=AT1G01650.1"
"126" "1" "13" "1" "233387" "233297" "Parent=AT1G01650.1"
"127" "1" "1" "9" "242449" "242290" "Parent=AT1G01660.1"
"128" "1" "2" "8" "242214" "242113" "Parent=AT1G01660.1"
"129" "1" "3" "7" "241983" "241909" "Parent=AT1G01660.1"
"130" "1" "4" "6" "241805" "241719" "Parent=AT1G01660.1"
"131" "1" "5" "5" "241539" "241443" "Parent=AT1G01660.1"
"132" "1" "6" "4" "241306" "241226" "Parent=AT1G01660.1"
"133" "1" "7" "3" "240960" "240884" "Parent=AT1G01660.1"
"134" "1" "8" "2" "240744" "240672" "Parent=AT1G01660.1"
"135" "1" "9" "1" "240352" "240242" "Parent=AT1G01660.1"
"136" "1" "1" "7" "245877" "245264" "Parent=AT1G01670.1"
"137" "1" "2" "6" "245151" "244873" "Parent=AT1G01670.1"
"138" "1" "3" "5" "244770" "244635" "Parent=AT1G01670.1"
"139" "1" "4" "4" "244505" "244361" "Parent=AT1G01670.1"
"140" "1" "5" "3" "244257" "244182" "Parent=AT1G01670.1"
"141" "1" "6" "2" "244035" "243746" "Parent=AT1G01670.1"
"142" "1" "7" "1" "243336" "243128" "Parent=AT1G01670.1"
"143" "1" "1" "6" "248191" "247680" "Parent=AT1G01680.1"
"144" "1" "2" "5" "247577" "247492" "Parent=AT1G01680.1"
"145" "1" "3" "4" "247362" "247268" "Parent=AT1G01680.1"
"146" "1" "4" "3" "247167" "247078" "Parent=AT1G01680.1"
"147" "1" "5" "2" "246949" "246853" "Parent=AT1G01680.1"
"148" "1" "6" "1" "246731" "246608" "Parent=AT1G01680.1"
"149" "1" "1" "6" "261129" "261037" "Parent=AT1G01700.1"
"150" "1" "2" "5" "260921" "260824" "Parent=AT1G01700.1"
"151" "1" "3" "4" "260670" "260582" "Parent=AT1G01700.1"
"152" "1" "4" "3" "260508" "260417" "Parent=AT1G01700.1"
"153" "1" "5" "2" "260118" "260034" "Parent=AT1G01700.1"
"154" "1" "6" "1" "259690" "259614" "Parent=AT1G01700.1"
"155" "1" "1" "1" "270622" "270090" "Parent=AT1G01725.1"
"156" "1" "1" "9" "274384" "274249" "Parent=AT1G01740.1"
"157" "1" "2" "8" "274167" "274083" "Parent=AT1G01740.1"
"158" "1" "3" "7" "273863" "273788" "Parent=AT1G01740.1"
"159" "1" "4" "6" "273653" "273562" "Parent=AT1G01740.1"
"160" "1" "5" "5" "273429" "273339" "Parent=AT1G01740.1"
"161" "1" "6" "4" "273234" "273149" "Parent=AT1G01740.1"
"162" "1" "7" "3" "273064" "272983" "Parent=AT1G01740.1"
"163" "1" "8" "2" "272651" "272555" "Parent=AT1G01740.1"
"164" "1" "9" "1" "272445" "272362" "Parent=AT1G01740.1"
"165" "1" "1" "9" "278316" "278252" "Parent=AT1G01760.1"
"166" "1" "2" "8" "277947" "277863" "Parent=AT1G01760.1"
"167" "1" "3" "7" "277717" "277606" "Parent=AT1G01760.1"
"168" "1" "4" "6" "277493" "277401" "Parent=AT1G01760.1"
"169" "1" "5" "5" "277232" "277153" "Parent=AT1G01760.1"
"170" "1" "6" "4" "277077" "276989" "Parent=AT1G01760.1"
"171" "1" "7" "3" "276870" "276793" "Parent=AT1G01760.1"
"172" "1" "8" "2" "276706" "276519" "Parent=AT1G01760.1"
"173" "1" "9" "1" "276405" "276307" "Parent=AT1G01760.1"
"174" "1" "1" "7" "298013" "297743" "Parent=AT1G01820.1"
"175" "1" "2" "6" "297532" "297175" "Parent=AT1G01820.1"
"176" "1" "3" "5" "297101" "297025" "Parent=AT1G01820.1"
"177" "1" "4" "4" "296951" "296862" "Parent=AT1G01820.1"
"178" "1" "5" "3" "296782" "296700" "Parent=AT1G01820.1"
"179" "1" "6" "2" "296626" "296535" "Parent=AT1G01820.1"
"180" "1" "7" "1" "296362" "296248" "Parent=AT1G01820.1"
"181" "1" "1" "1" "300603" "300515" "Parent=AT1G01830.1"
"182" "1" "1" "8" "306045" "305934" "Parent=AT1G01860.1"
"183" "1" "2" "7" "305785" "305702" "Parent=AT1G01860.1"
"184" "1" "3" "6" "305547" "305442" "Parent=AT1G01860.1"
"185" "1" "4" "5" "305347" "305258" "Parent=AT1G01860.1"
"186" "1" "5" "4" "305174" "305090" "Parent=AT1G01860.1"
"187" "1" "6" "3" "305038" "304963" "Parent=AT1G01860.1"
"188" "1" "7" "2" "304880" "304807" "Parent=AT1G01860.1"
"189" "1" "8" "1" "304697" "304504" "Parent=AT1G01860.1"
"190" "1" "1" "6" "308797" "308573" "Parent=AT1G01880.1"
"191" "1" "2" "5" "308397" "308318" "Parent=AT1G01880.1"
"192" "1" "3" "4" "308148" "308070" "Parent=AT1G01880.1"
"193" "1" "4" "3" "307889" "307805" "Parent=AT1G01880.1"
"194" "1" "5" "2" "307441" "307359" "Parent=AT1G01880.1"
"195" "1" "6" "1" "306893" "306800" "Parent=AT1G01880.1"
"196" "1" "1" "7" "315577" "315015" "Parent=AT1G01910.1"
"197" "1" "2" "6" "314891" "314802" "Parent=AT1G01910.1"
"198" "1" "3" "5" "314652" "314551" "Parent=AT1G01910.1"
"199" "1" "4" "4" "314441" "314225" "Parent=AT1G01910.1"
"200" "1" "5" "3" "314087" "313995" "Parent=AT1G01910.1"
"201" "1" "6" "2" "313880" "313759" "Parent=AT1G01910.1"
"202" "1" "7" "1" "313567" "313418" "Parent=AT1G01910.1"
"203" "1" "1" "6" "322513" "322406" "Parent=AT1G01930.1"
"204" "1" "2" "5" "321958" "321865" "Parent=AT1G01930.1"
"205" "1" "3" "4" "321751" "321422" "Parent=AT1G01930.1"
"206" "1" "4" "3" "320769" "320457" "Parent=AT1G01930.1"
"207" "1" "5" "2" "320380" "320296" "Parent=AT1G01930.1"
"208" "1" "6" "1" "320252" "320145" "Parent=AT1G01930.1"
"209" "1" "1" "10" "336417" "336233" "Parent=AT1G01960.1"
"210" "1" "2" "9" "335916" "335773" "Parent=AT1G01960.1"
"211" "1" "3" "8" "335419" "335321" "Parent=AT1G01960.1"
"212" "1" "4" "7" "334899" "334763" "Parent=AT1G01960.1"
"213" "1" "5" "6" "334471" "334178" "Parent=AT1G01960.1"
"214" "1" "6" "5" "333905" "333628" "Parent=AT1G01960.1"
"215" "1" "7" "4" "333129" "333045" "Parent=AT1G01960.1"
"216" "1" "8" "3" "332724" "332633" "Parent=AT1G01960.1"
"217" "1" "9" "2" "332276" "332183" "Parent=AT1G01960.1"
"218" "1" "10" "1" "331534" "331423" "Parent=AT1G01960.1"
"219" "1" "1" "1" "353238" "353162" "Parent=AT1G02020.1"
"220" "1" "1" "1" "360240" "360149" "Parent=AT1G02050.1"
"221" "1" "1" "1" "370859" "370751" "Parent=AT1G02070.1"
"222" "1" "1" "8" "389410" "389301" "Parent=AT1G02090.1"
"223" "1" "2" "7" "389226" "389138" "Parent=AT1G02090.1"
"224" "1" "3" "6" "389050" "388940" "Parent=AT1G02090.1"
"225" "1" "4" "5" "388851" "388760" "Parent=AT1G02090.1"
"226" "1" "5" "4" "388716" "388609" "Parent=AT1G02090.1"
"227" "1" "6" "3" "388539" "388406" "Parent=AT1G02090.1"
"228" "1" "7" "2" "388268" "387672" "Parent=AT1G02090.1"
"229" "1" "8" "1" "387584" "387503" "Parent=AT1G02090.1"
"230" "1" "1" "7" "401775" "401667" "Parent=AT1G02130.1"
"231" "1" "2" "6" "401595" "401508" "Parent=AT1G02130.1"
"232" "1" "3" "5" "401461" "401370" "Parent=AT1G02130.1"
"233" "1" "4" "4" "401323" "401235" "Parent=AT1G02130.1"
"234" "1" "5" "3" "401164" "401086" "Parent=AT1G02130.1"
"235" "1" "6" "2" "400931" "400828" "Parent=AT1G02130.1"
"236" "1" "7" "1" "400725" "400446" "Parent=AT1G02130.1"
"237" "1" "1" "2" "404186" "403947" "Parent=AT1G02140.1"
"238" "1" "2" "1" "403771" "403526" "Parent=AT1G02140.1"
"239" "1" "1" "1" "414424" "414217" "Parent=AT1G02180.1"
"240" "1" "1" "5" "430414" "430316" "Parent=AT1G02220.1"
"241" "1" "2" "4" "430069" "429997" "Parent=AT1G02220.1"
"242" "1" "3" "3" "429851" "429776" "Parent=AT1G02220.1"
"243" "1" "4" "2" "429462" "429370" "Parent=AT1G02220.1"
"244" "1" "5" "1" "429248" "429099" "Parent=AT1G02220.1"
"245" "1" "1" "5" "436622" "436539" "Parent=AT1G02230.1"
"246" "1" "2" "4" "436277" "436128" "Parent=AT1G02230.1"
"247" "1" "3" "3" "435997" "435916" "Parent=AT1G02230.1"
"248" "1" "4" "2" "435650" "435563" "Parent=AT1G02230.1"
"249" "1" "5" "1" "435450" "435323" "Parent=AT1G02230.1"
"250" "1" "1" "5" "439406" "439314" "Parent=AT1G02250.1"
"251" "1" "2" "4" "439052" "438923" "Parent=AT1G02250.1"
"252" "1" "3" "3" "438783" "438679" "Parent=AT1G02250.1"
"253" "1" "4" "2" "438422" "438334" "Parent=AT1G02250.1"
"254" "1" "5" "1" "438218" "438106" "Parent=AT1G02250.1"
"255" "1" "1" "3" "442718" "442620" "Parent=AT1G02260.1"
"256" "1" "2" "2" "441398" "441325" "Parent=AT1G02260.1"
"257" "1" "3" "1" "441136" "441013" "Parent=AT1G02260.1"
"258" "1" "1" "10" "446030" "445942" "Parent=AT1G02270.1"
"259" "1" "2" "9" "445844" "445752" "Parent=AT1G02270.1"
"260" "1" "3" "8" "445648" "445559" "Parent=AT1G02270.1"
"261" "1" "4" "7" "445454" "445066" "Parent=AT1G02270.1"
"262" "1" "5" "6" "444846" "444759" "Parent=AT1G02270.1"
"263" "1" "6" "5" "444683" "444597" "Parent=AT1G02270.1"
"264" "1" "7" "4" "444489" "444383" "Parent=AT1G02270.1"
"265" "1" "8" "3" "444258" "444089" "Parent=AT1G02270.1"
"266" "1" "9" "2" "443979" "443736" "Parent=AT1G02270.1"
"267" "1" "10" "1" "443629" "443525" "Parent=AT1G02270.1"
"268" "1" "1" "7" "450361" "450258" "Parent=AT1G02280.1"
"269" "1" "2" "6" "450151" "450046" "Parent=AT1G02280.1"
"270" "1" "3" "5" "449939" "449838" "Parent=AT1G02280.1"
"271" "1" "4" "4" "449714" "449489" "Parent=AT1G02280.1"
"272" "1" "5" "3" "449225" "449123" "Parent=AT1G02280.1"
"273" "1" "6" "2" "449055" "448973" "Parent=AT1G02280.1"
"274" "1" "7" "1" "448812" "448733" "Parent=AT1G02280.1"
"275" "1" "1" "1" "452583" "452066" "Parent=AT1G02290.1"
"276" "1" "1" "4" "460323" "459682" "Parent=AT1G02310.1"
"277" "1" "2" "3" "459503" "459143" "Parent=AT1G02310.1"
"278" "1" "3" "2" "459021" "458940" "Parent=AT1G02310.1"
"279" "1" "4" "1" "458732" "458636" "Parent=AT1G02310.1"
"280" "1" "1" "5" "463421" "463323" "Parent=AT1G02330.1"
"281" "1" "2" "4" "463123" "462999" "Parent=AT1G02330.1"
"282" "1" "3" "3" "462876" "462800" "Parent=AT1G02330.1"
"283" "1" "4" "2" "462727" "462632" "Parent=AT1G02330.1"
"284" "1" "5" "1" "462475" "462383" "Parent=AT1G02330.1"
"285" "1" "1" "1" "464762" "464523" "Parent=AT1G02335.1"
"286" "1" "1" "4" "467684" "467552" "Parent=AT1G02340.1"
"287" "1" "2" "3" "467186" "467086" "Parent=AT1G02340.1"
"288" "1" "3" "2" "466958" "466797" "Parent=AT1G02340.1"
"289" "1" "4" "1" "466732" "466247" "Parent=AT1G02340.1"
"290" "1" "1" "1" "472668" "472507" "Parent=AT1G02360.1"
"291" "1" "1" "4" "495912" "495833" "Parent=AT1G02430.1"
"292" "1" "2" "3" "495757" "495682" "Parent=AT1G02430.1"
"293" "1" "3" "2" "495563" "495489" "Parent=AT1G02430.1"
"294" "1" "4" "1" "495350" "495259" "Parent=AT1G02430.1"
"295" "1" "1" "4" "497329" "497241" "Parent=AT1G02440.1"
"296" "1" "2" "3" "497165" "497091" "Parent=AT1G02440.1"
"297" "1" "3" "2" "496972" "496899" "Parent=AT1G02440.1"
"298" "1" "4" "1" "496760" "496670" "Parent=AT1G02440.1"
"299" "1" "1" "5" "506644" "506534" "Parent=AT1G02460.1"
"300" "1" "2" "4" "506367" "506184" "Parent=AT1G02460.1"
"301" "1" "3" "3" "506137" "506052" "Parent=AT1G02460.1"
"302" "1" "4" "2" "505845" "505583" "Parent=AT1G02460.1"
"303" "1" "5" "1" "505499" "505407" "Parent=AT1G02460.1"
"304" "1" "1" "6" "513332" "513246" "Parent=AT1G02470.1"
"305" "1" "2" "5" "513147" "512620" "Parent=AT1G02470.1"
"306" "1" "3" "4" "512525" "512430" "Parent=AT1G02470.1"
"307" "1" "4" "3" "512378" "512262" "Parent=AT1G02470.1"
"308" "1" "5" "2" "512214" "512121" "Parent=AT1G02470.1"
"309" "1" "6" "1" "512074" "511990" "Parent=AT1G02470.1"
"310" "1" "1" "7" "515093" "514991" "Parent=AT1G02475.1"
"311" "1" "2" "6" "514892" "514800" "Parent=AT1G02475.1"
"312" "1" "3" "5" "514705" "514605" "Parent=AT1G02475.1"
"313" "1" "4" "4" "514553" "514470" "Parent=AT1G02475.1"
"314" "1" "5" "3" "514422" "514318" "Parent=AT1G02475.1"
"315" "1" "6" "2" "514271" "514184" "Parent=AT1G02475.1"
"316" "1" "7" "1" "514106" "514034" "Parent=AT1G02475.1"
"317" "1" "1" "1" "520890" "520804" "Parent=AT1G02510.1"
"318" "1" "1" "3" "552687" "552506" "Parent=AT1G02590.1"
"319" "1" "2" "2" "552456" "552373" "Parent=AT1G02590.1"
"320" "1" "3" "1" "552275" "552182" "Parent=AT1G02590.1"
"321" "1" "1" "6" "555726" "555643" "Parent=AT1G02610.1"
"322" "1" "2" "5" "555572" "554863" "Parent=AT1G02610.1"
"323" "1" "3" "4" "554796" "554613" "Parent=AT1G02610.1"
"324" "1" "4" "3" "554472" "553677" "Parent=AT1G02610.1"
"325" "1" "5" "2" "553600" "553490" "Parent=AT1G02610.1"
"326" "1" "6" "1" "553395" "553261" "Parent=AT1G02610.1"
"327" "1" "1" "1" "561902" "561695" "Parent=AT1G02630.1"
"328" "1" "1" "4" "574120" "573953" "Parent=AT1G02660.1"
"329" "1" "2" "3" "573489" "573397" "Parent=AT1G02660.1"
"330" "1" "3" "2" "573338" "573252" "Parent=AT1G02660.1"
"331" "1" "4" "1" "572836" "572759" "Parent=AT1G02660.1"
"332" "1" "1" "2" "597521" "597382" "Parent=AT1G02730.1"
"333" "1" "2" "1" "596572" "596478" "Parent=AT1G02730.1"
"334" "1" "1" "9" "601812" "601706" "Parent=AT1G02740.1"
"335" "1" "2" "8" "601653" "601560" "Parent=AT1G02740.1"
"336" "1" "3" "7" "601547" "601372" "Parent=AT1G02740.1"
"337" "1" "4" "6" "601227" "600976" "Parent=AT1G02740.1"
"338" "1" "5" "5" "600936" "600825" "Parent=AT1G02740.1"
"339" "1" "6" "4" "600721" "600513" "Parent=AT1G02740.1"
"340" "1" "7" "3" "600434" "600234" "Parent=AT1G02740.1"
"341" "1" "8" "2" "600065" "599976" "Parent=AT1G02740.1"
"342" "1" "9" "1" "599892" "599812" "Parent=AT1G02740.1"
"343" "1" "1" "5" "606529" "606322" "Parent=AT1G02770.1"
"344" "1" "2" "4" "606176" "606102" "Parent=AT1G02770.1"
"345" "1" "3" "3" "605919" "605805" "Parent=AT1G02770.1"
"346" "1" "4" "2" "605705" "605604" "Parent=AT1G02770.1"
"347" "1" "5" "1" "605515" "605403" "Parent=AT1G02770.1"
"348" "1" "1" "4" "609280" "608938" "Parent=AT1G02780.1"
"349" "1" "2" "3" "608816" "608711" "Parent=AT1G02780.1"
"350" "1" "3" "2" "608398" "608309" "Parent=AT1G02780.1"
"351" "1" "4" "1" "608242" "608147" "Parent=AT1G02780.1"
"352" "1" "1" "3" "612019" "611920" "Parent=AT1G02790.1"
"353" "1" "2" "2" "611618" "611529" "Parent=AT1G02790.1"
"354" "1" "3" "1" "611026" "610935" "Parent=AT1G02790.1"
"355" "1" "1" "7" "615852" "615483" "Parent=AT1G02800.1"
"356" "1" "2" "6" "615277" "615189" "Parent=AT1G02800.1"
"357" "1" "3" "5" "614989" "614814" "Parent=AT1G02800.1"
"358" "1" "4" "4" "614722" "614610" "Parent=AT1G02800.1"
"359" "1" "5" "3" "614449" "614345" "Parent=AT1G02800.1"
"360" "1" "6" "2" "614240" "614157" "Parent=AT1G02800.1"
"361" "1" "7" "1" "613994" "613706" "Parent=AT1G02800.1"
"362" "1" "1" "1" "624231" "624134" "Parent=AT1G02820.1"
"363" "1" "1" "1" "625373" "625292" "Parent=AT1G02830.1"
"364" "1" "1" "2" "638258" "637723" "Parent=AT1G02870.1"
"365" "1" "2" "1" "637602" "637514" "Parent=AT1G02870.1"
"366" "1" "1" "4" "644350" "644256" "Parent=AT1G02880.1"
"367" "1" "2" "3" "643877" "643745" "Parent=AT1G02880.1"
"368" "1" "3" "2" "643644" "643554" "Parent=AT1G02880.1"
"369" "1" "4" "1" "643305" "643208" "Parent=AT1G02880.1"
"370" "1" "1" "26" "651711" "651539" "Parent=AT1G02890.1"
"371" "1" "2" "25" "651320" "651219" "Parent=AT1G02890.1"
"372" "1" "3" "24" "651128" "650904" "Parent=AT1G02890.1"
"373" "1" "4" "23" "650791" "650709" "Parent=AT1G02890.1"
"374" "1" "5" "22" "650563" "650438" "Parent=AT1G02890.1"
"375" "1" "6" "21" "649762" "649675" "Parent=AT1G02890.1"
"376" "1" "7" "20" "649551" "649459" "Parent=AT1G02890.1"
"377" "1" "8" "19" "649368" "649139" "Parent=AT1G02890.1"
"378" "1" "9" "18" "648911" "648829" "Parent=AT1G02890.1"
"379" "1" "10" "17" "648766" "648656" "Parent=AT1G02890.1"
"380" "1" "11" "16" "648508" "648432" "Parent=AT1G02890.1"
"381" "1" "12" "15" "648362" "648275" "Parent=AT1G02890.1"
"382" "1" "13" "14" "648102" "647995" "Parent=AT1G02890.1"
"383" "1" "14" "13" "647924" "647807" "Parent=AT1G02890.1"
"384" "1" "15" "12" "647703" "647620" "Parent=AT1G02890.1"
"385" "1" "16" "11" "647531" "647442" "Parent=AT1G02890.1"
"386" "1" "17" "10" "647367" "647280" "Parent=AT1G02890.1"
"387" "1" "18" "9" "647184" "647107" "Parent=AT1G02890.1"
"388" "1" "19" "8" "647038" "646956" "Parent=AT1G02890.1"
"389" "1" "20" "7" "646777" "646689" "Parent=AT1G02890.1"
"390" "1" "21" "6" "646567" "646489" "Parent=AT1G02890.1"
"391" "1" "22" "5" "646406" "646310" "Parent=AT1G02890.1"
"392" "1" "23" "4" "646126" "646037" "Parent=AT1G02890.1"
"393" "1" "24" "3" "645899" "645814" "Parent=AT1G02890.1"
"394" "1" "25" "2" "645755" "645679" "Parent=AT1G02890.1"
"395" "1" "26" "1" "645575" "645485" "Parent=AT1G02890.1"
"396" "1" "1" "8" "657856" "657495" "Parent=AT1G02910.1"
"397" "1" "2" "7" "657392" "657277" "Parent=AT1G02910.1"
